name,board_name,unsolved,num_backtracks,time_elapsed,ratio
name,Easy-NYTimes,unsolved,260,0.002,
name,Medium-NYTimes,unsolved,27917,0.191,
name,Hard-NYTimes,unsolved,10616,0.075,
name,hardest-sudoku-telegraph,unsolved,49498,0.456,
name,sudokugarden.de/files/100sudoku2-en.pdf-Nr-100,unsolved,2482069,23.553,
name,sudokugarden.de/files/100sudoku2-en.pdf-Nr-50,unsolved,19029872,163.906,
name,Easy-NYTimes,unsolved,0,0.001,#DIV/0!
name,Medium-NYTimes,unsolved,158,0.126,176.6898734
name,Hard-NYTimes,unsolved,43,0.036,246.8837209
name,hardest-sudoku-telegraph,unsolved,334,0.237,148.1976048
name,sudokugarden.de/files/100sudoku2-en.pdf-Nr-100,unsolved,3199,1.631,775.8890278
name,sudokugarden.de/files/100sudoku2-en.pdf-Nr-50,unsolved,19115,12.068,995.5465341
name,Easy-NYTimes,unsolved,0,0,#DIV/0!
name,Medium-NYTimes,unsolved,8,0.008,3489.625
name,Hard-NYTimes,unsolved,93,0.08,114.1505376
name,hardest-sudoku-telegraph,unsolved,0,0.006,#DIV/0!
name,sudokugarden.de/files/100sudoku2-en.pdf-Nr-100,unsolved,431,0.332,5758.860789
name,sudokugarden.de/files/100sudoku2-en.pdf-Nr-50,unsolved,1367,0.979,13920.90124
,,,39975,0.33,
,,,6964,0.076,
,,,9,0.012,4441.666667
,,,0,0.003,#DIV/0!
,,,0,0.01,#DIV/0!
,,,0,0.004,#DIV/0!